State,County,NUM_LICENSED_BEDS,Population with public coverage,Percent of pop w/no health insurance,margin of error,PopEstimate2018,Heart Disease Mortality,adjusted_beds,inquiry1,inquiry2
AK,Aleutians East,NA,696,45.6,3.1,3515,172.9,NA,3.791666667,NA
AK,Aleutians West,NA,707,18.8,2.5,5723,172.2,NA,9.159574468,NA
AK,Anchorage,1152,81787,12.2,0.7,291538,243.3,395.1457443,19.94262295,0.615722182
AK,Bethel,50,9375,20.7,1.6,18216,337.1,274.4839701,16.28502415,1.22812272
AK,Bristol Bay,NA,219,19.8,3.5,877,-1,NA,-0.050505051,NA
AK,Denali,NA,310,19.2,5.9,2059,240.9,NA,12.546875,NA
AK,Dillingham,16,2260,22.4,2,5000,366.5,320,16.36160714,1.1453125
AK,Fairbanks North Star,175,23341,10,1.2,98971,276.7,176.8194724,27.67,1.564872897
AK,Haines,NA,978,15.5,5.4,2474,261,NA,16.83870968,NA
AK,Hoonah-Angoon,NA,868,25.1,3.3,2151,272,NA,10.83665339,NA
AK,Juneau,73,8493,11.1,1.8,32113,266.8,227.3222682,24.03603604,1.173664164
AK,Kenai Peninsula,77,20189,17.2,1.4,58533,284.2,131.5497241,16.52325581,2.160399818
AK,Ketchikan Gateway,25,4573,13.2,1.6,13918,277.8,179.6235091,21.04545455,1.54656816
AK,Kodiak Island,25,3713,20.3,3.1,13345,290.3,187.3360809,14.30049261,1.5496214
AK,Kusilvak,NA,5330,21.1,1.3,8303,95.2,NA,4.511848341,NA
AK,Lake and Peninsula,NA,522,31.6,4.6,1587,289.5,NA,9.161392405,NA
AK,Matanuska-Susitna,125,33166,15.2,0.9,107610,228.3,116.1602082,15.01973684,1.96538904
AK,Nome,18,4484,22.5,1.5,10008,471.8,179.8561151,20.96888889,2.623208
AK,North Slope,10,2185,20.8,2.9,9872,332.5,101.2965964,15.98557692,3.28244
AK,Northwest Arctic,17,3516,27.6,1.6,7671,392,221.6138704,14.20289855,1.768842353
