"State","County","NUM_LICENSED_BEDS","Population with public coverage","Percent of pop w/no health insurance","margin of error","PopEstimate2018","Heart Disease Mortality","adjusted_beds","inquiry1","inquiry2"
"AK","Aleutians East",NA,696,45.6,3.1,3515,172.9,NA,NA,3.79166666666667
"AK","Aleutians West",NA,707,18.8,2.5,5723,172.2,NA,NA,9.15957446808511
"AK","Anchorage",1152,81787,12.2,0.7,291538,243.3,395.145744294054,0.615722182291667,19.9426229508197
"AK","Bethel",50,9375,20.7,1.6,18216,337.1,274.483970136144,1.22812272,16.2850241545894
"AK","Bristol Bay",NA,219,19.8,3.5,877,-1,NA,NA,-0.0505050505050505
"AK","Denali",NA,310,19.2,5.9,2059,240.9,NA,NA,12.546875
"AK","Dillingham",16,2260,22.4,2,5000,366.5,320,1.1453125,16.3616071428571
"AK","Fairbanks North Star",175,23341,10,1.2,98971,276.7,176.819472370694,1.56487289714286,27.67
"AK","Haines",NA,978,15.5,5.4,2474,261,NA,NA,16.8387096774194
"AK","Hoonah-Angoon",NA,868,25.1,3.3,2151,272,NA,NA,10.8366533864542
"AK","Juneau",73,8493,11.1,1.8,32113,266.8,227.322268240277,1.17366416438356,24.036036036036
"AK","Kenai Peninsula",77,20189,17.2,1.4,58533,284.2,131.549724087267,2.16039981818182,16.5232558139535
"AK","Ketchikan Gateway",25,4573,13.2,1.6,13918,277.8,179.623509124874,1.54656816,21.0454545454545
"AK","Kodiak Island",25,3713,20.3,3.1,13345,290.3,187.336080929187,1.5496214,14.3004926108374
"AK","Kusilvak",NA,5330,21.1,1.3,8303,95.2,NA,NA,4.51184834123223
"AK","Lake and Peninsula",NA,522,31.6,4.6,1587,289.5,NA,NA,9.16139240506329
"AK","Matanuska-Susitna",125,33166,15.2,0.9,107610,228.3,116.160208159093,1.96538904,15.0197368421053
"AK","Nome",18,4484,22.5,1.5,10008,471.8,179.856115107914,2.623208,20.9688888888889
"AK","North Slope",10,2185,20.8,2.9,9872,332.5,101.29659643436,3.28244,15.9855769230769
